id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
517,0,0.76,1,4,50,12,0,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.85,32,32,1,94,1,2,0,7,8,1,2,1475,260,1735,85.01,1010,466,112,10,1,33.33,95,46.12,0,11,1,45,46.88,83,49.11,128,48.3,2524,9,43,3,291,30,29,0,0,0,0,0,24,4,0,0,0,0,0,real-sociedad,igor-zubeldia,D,23000000
518,3,3.64,8,31,64.58,33,10,18,5,9.09,0,0,0,0,0,1,2,1,0,2,2,27,0,0,6.71,15,0,0,10,0,0,0,4,1,2,1,128,52,180,71.11,45,86,52,10,3,25,3,50,0,4,0,65,39.63,29,34.52,94,37.9,1106,19,45,39,169,26,12,0,0,0,0,0,13,2,0,0,0,0,0,real-sociedad,umar-sadiq,F,5800000
519,0,0.29,0,10,58.82,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,36,9,0,32,0,0,0,11,2,3,2,391,115,506,77.27,214,188,77,12,11,37.93,21,36.21,0,2,0,54,55.67,23,57.5,77,56.2,1132,8,17,8,230,21,11,0,0,0,0,0,13,1,0,0,0,0,0,real-sociedad,aihen-munoz,D,8300000
520,0,0.85,2,7,70,9,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.67,16,3,0,5,0,1,0,3,0,0,0,127,41,168,75.6,57,70,40,6,0,0,4,33.33,0,3,0,29,60.42,7,41.18,36,55.38,370,7,7,6,61,14,2,0,0,0,0,0,7,1,0,0,0,0,0,real-sociedad,jon-ander-olasagasti,M,1300000
521,0,1.64,4,43,61.43,28,7,11,10,0,0,0,0,2,0,0,0,0,0,0,1,10,0,0,6.84,27,12,1,13,0,0,0,12,0,4,3,226,89,315,71.75,73,174,99,27,21,25,8,33.33,0,2,0,100,58.82,18,50,118,57.28,1302,30,13,18,253,31,14,0,0,0,0,0,19,2,0,0,0,0,0,deportivo-alaves,alex-sola,M,4300000
522,0,0.39,2,7,43.75,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.47,4,1,0,0,0,0,0,5,1,0,0,37,18,55,67.27,17,21,10,1,1,9.09,0,0,0,0,0,16,44.44,4,40,20,43.48,247,6,5,2,51,11,1,0,0,0,0,0,6,1,0,0,0,0,0,real-sociedad,mohamed-ali-cho,F,11600000
523,0,0.2,1,3,42.86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.74,25,10,0,34,0,3,0,17,2,3,2,673,76,749,89.85,402,276,116,11,5,71.43,12,34.29,0,5,0,50,54.35,10,40,60,51.28,1249,22,14,9,112,21,14,0,0,0,0,0,14,0,0,0,0,0,0,girona-fc,arnau-martinez,D,10800000
524,3,2.08,1,5,71.43,16,6,8,2,18.75,0,0,0,0,0,3,0,0,1,2,1,1,0,0,6.94,33,20,1,62,3,1,0,5,5,0,0,1466,112,1578,92.9,1115,351,65,4,0,0,36,46.15,0,4,0,52,67.53,33,45.83,85,57.05,1975,15,17,2,130,25,25,0,0,0,0,0,24,1,0,0,0,0,0,girona-fc,david-lopez,D,2300000
525,2,2.76,2,25,45.45,34,5,18,11,5.88,0,0,0,0,0,2,0,0,1,1,0,6,0,0,7.02,29,22,2,56,1,1,0,22,10,21,7,1341,176,1517,88.4,717,652,333,42,28,28.87,39,55.71,0,4,0,80,42.55,22,55,102,44.74,3037,26,27,32,385,35,35,0,0,0,0,0,37,2,0,0,0,0,0,girona-fc,miguel-gutierrez,D,27000000
526,9,6.06,5,104,53.61,45,20,14,11,20,0,0,2,0,0,8,1,0,9,0,2,16,0,0,7.29,42,18,0,5,0,1,0,12,4,14,10,772,156,928,83.19,216,585,356,54,29,24.17,19,61.29,1,5,0,212,54.5,4,23.53,216,53.2,2989,66,30,49,511,37,35,0,0,0,0,0,38,1,0,0,0,0,0,girona-fc,savio,M,52000000
