id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
802,0,0.68,2,37,51.39,16,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.98,93,80,0,109,1,2,2,58,7,6,6,1237,392,1629,75.94,653,614,325,34,30,22.73,101,46.98,1,6,0,150,51.37,42,60.87,192,53.19,3270,20,34,16,651,37,37,0,0,0,0,0,49,11,0,0,0,0,0,fulham,antonee-robinson,D,27000000
803,5,5.65,2,40,54.79,55,20,17,18,9.09,0,0,0,0,0,5,0,0,1,4,1,8,0,0,7.06,31,15,0,6,0,0,0,14,0,5,2,826,186,1012,81.62,277,562,350,53,13,18.57,40,48.78,0,2,0,76,46.63,6,24,82,43.62,2342,5,12,29,367,32,27,0,0,0,0,0,30,11,0,0,0,0,0,fulham,alex-iwobi,M,26000000
804,4,3.38,2,15,48.39,40,13,16,11,10,0,0,1,3,0,2,2,0,4,0,2,5,0,0,6.98,21,10,0,11,0,0,0,17,1,5,6,461,121,582,79.21,162,311,179,23,12,28.57,29,61.7,1,6,0,76,53.52,5,45.45,81,52.94,1622,40,21,12,215,35,16,0,0,0,0,0,23,7,0,0,0,0,0,fulham,harry-wilson,M,18400000
805,4,1.33,0,11,50,26,7,8,11,15.38,0,0,0,1,1,2,2,0,1,3,0,0,0,100,7.04,73,28,0,16,0,0,0,17,4,1,0,753,127,880,85.57,355,399,189,15,1,9.09,22,42.31,0,8,0,113,57.95,15,62.5,128,58.45,1892,31,35,20,188,25,24,0,0,0,0,0,24,1,0,0,0,0,0,everton,idrissa-gueye,M,1900000
806,0,0.3,0,5,50,9,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.74,29,11,0,22,0,0,0,18,3,2,2,616,106,722,85.32,349,271,128,15,4,21.05,21,56.76,1,6,0,43,40.95,10,43.48,53,41.41,1324,10,26,13,159,27,15,0,0,0,0,0,19,4,0,0,0,0,0,fulham,harrison-reed,M,13900000
807,1,2.71,1,19,54.29,41,11,20,10,2.44,0,0,0,5,0,0,1,0,0,1,4,3,0,0,7.09,83,45,0,45,1,0,0,47,11,7,2,920,191,1111,82.81,382,563,303,44,25,22.32,46,53.49,0,7,0,144,56.69,25,51.02,169,55.78,3005,44,39,10,346,37,34,0,0,0,0,0,41,6,0,0,0,0,0,everton,james-garner,M,23000000
808,0,0.26,0,1,100,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,30,17,3,80,1,0,0,5,4,0,0,948,128,1076,88.1,629,319,70,0,0,0,37,41.57,0,2,1,35,57.38,25,59.52,60,58.25,1426,4,17,5,138,18,16,0,0,0,0,0,24,1,0,0,0,0,0,fulham,issa-diop,D,21000000
809,1,1.08,0,26,83.87,17,8,6,3,5.88,0,0,1,0,0,1,0,0,1,0,1,0,0,0,6.97,24,13,0,6,0,0,1,12,3,5,4,1121,120,1241,90.33,491,635,365,26,5,20,41,58.57,0,3,0,73,57.03,14,70,87,58.78,1500,23,16,24,208,34,14,0,0,0,0,0,23,4,0,0,0,0,0,fulham,tom-cairney,M,2100000
810,1,0.96,0,6,85.71,1,1,0,0,100,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6.81,20,25,2,59,2,0,0,9,3,0,0,944,114,1058,89.22,637,307,87,0,0,0,73,67.59,0,2,1,31,59.62,26,57.78,57,58.76,1504,6,8,3,126,18,17,0,0,0,0,0,24,5,0,0,0,0,0,fulham,tim-ream,D,485000
811,6,4.55,3,8,40,33,8,18,7,18.18,0,0,0,0,0,5,1,1,1,4,1,4,0,0,6.83,22,5,0,12,0,0,0,12,1,3,2,349,93,442,78.96,135,220,125,17,6,17.14,10,45.45,0,4,0,55,52.38,13,35.14,68,47.89,1440,25,16,10,180,33,17,0,0,0,0,0,23,6,0,0,0,0,0,fulham,bobby-decordova-reid,M,4600000
812,6,7.21,7,9,31.03,42,20,10,12,14.29,0,0,0,1,0,6,0,1,2,3,1,6,0,0,6.79,10,2,0,4,0,0,0,11,0,5,3,293,105,398,73.62,110,185,128,17,2,25,16,64,1,8,0,45,36.89,14,24.56,59,32.96,1453,26,20,27,195,31,14,0,0,0,0,0,32,5,0,0,0,0,0,brentford,neal-maupay,F,12400000
813,1,2.62,5,8,42.11,25,9,8,8,4,0,0,0,1,0,1,0,0,1,0,2,3,0,0,6.67,6,3,0,0,0,0,0,3,0,1,0,101,39,140,72.14,35,66,44,6,0,0,2,50,0,0,0,19,41.3,3,37.5,22,40.74,595,5,7,7,78,14,5,0,0,0,0,0,9,1,0,0,0,0,0,everton,arnaut-danjuma,F,12300000
814,0,0.33,1,7,41.18,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.66,34,9,0,28,0,0,0,23,2,3,2,298,110,408,73.04,134,171,87,8,7,21.88,27,42.86,0,4,0,46,45.1,7,41.18,53,44.54,1012,5,18,6,193,20,9,0,0,0,0,0,19,2,0,0,0,0,0,everton,patterson-nathan,D,16300000
815,1,2.62,4,16,80,25,5,15,5,4,0,0,0,0,0,1,0,1,0,0,1,1,0,0,7.32,61,56,1,186,1,1,0,21,13,5,1,1186,339,1525,77.77,745,444,187,23,3,50,159,53.36,1,11,0,97,53.3,145,70.05,242,62.21,3419,25,45,16,391,38,38,0,0,0,0,0,45,6,0,0,0,0,0,everton,james-tarkowski,D,13400000
816,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21,1,0,1,34,1,0,1,0,13,0,0,849,580,1429,59.41,534,315,175,4,0,0,400,41.32,0,5,0,8,88.89,1,100,9,90,3420,6,1,0,590,38,38,121,8,0,80,37,45,6,15,26,23,26,0,everton,jordan-pickford,G,24000000
817,2,1.31,2,33,57.89,26,8,5,13,7.69,0,0,0,2,1,1,1,0,2,0,0,13,0,50,7.03,63,31,0,36,1,3,0,45,2,10,8,820,270,1090,75.23,422,487,250,71,89,26.18,66,39.05,1,5,0,105,48.39,23,65.71,128,50.79,2937,9,31,13,659,37,34,0,0,0,0,0,67,7,0,0,0,0,0,luton-town,alfie-doughty,M,9300000
818,2,2.78,3,6,27.27,26,7,9,10,7.69,0,0,0,0,0,1,1,0,1,1,2,6,0,0,6.74,19,8,0,17,0,0,0,11,1,1,0,129,100,229,56.33,37,95,54,8,3,30,4,16.67,0,4,0,44,38.26,43,44.33,87,41.04,1020,19,19,25,178,19,12,0,0,0,0,0,26,0,0,0,0,0,0,luton-town,jacob-brown,F,3900000
819,1,0.54,0,1,16.67,5,3,2,0,20,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6.81,54,18,0,52,1,0,0,19,2,1,1,688,122,810,84.94,379,309,145,4,0,0,30,46.15,0,4,0,96,66.67,29,58,125,64.43,1591,42,17,7,181,27,17,0,0,0,0,0,27,5,0,0,0,0,0,brighton-and-hove-albion,joel-veltman,D,8300000
820,4,4.25,1,61,58.1,35,14,4,17,11.43,0,0,2,0,0,4,0,1,0,3,1,8,0,0,7.03,17,7,0,31,0,2,0,10,1,5,1,513,116,629,81.56,166,358,230,27,11,13.92,10,37.04,1,1,0,127,61.35,29,54.72,156,60,1993,50,8,21,334,30,20,0,0,0,0,0,43,4,0,0,0,0,0,luton-town,ogbene-chiedozie,M,7400000
821,6,4.31,4,50,43.86,52,22,23,7,11.54,0,0,1,0,0,5,1,1,0,5,1,17,0,0,7.03,45,19,0,22,0,0,0,23,1,6,1,606,141,747,81.12,194,426,238,33,14,18.42,14,42.42,0,3,0,114,44.36,8,40,122,44.04,2239,19,29,28,357,31,25,0,0,0,0,0,31,7,0,0,0,0,0,brighton-and-hove-albion,simon-adingra,M,31000000
822,0,0.98,0,8,38.1,25,5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,26,11,0,14,0,1,0,24,3,3,1,1903,162,2065,92.15,975,939,402,22,11,32.35,64,62.14,0,8,1,64,48.85,11,34.38,75,46.01,2125,30,22,9,244,30,24,0,0,0,0,0,34,3,0,0,0,0,0,brighton-and-hove-albion,gilmour-billy,M,16900000
